Sequence Name,Predicted Haplogroup,N,Nph,Nph_tot,Nph_exp,P_Hg
Contig.1,N1b1a3,292,35,54,54,64.815
Contig.1,N1b1a2,292,35,54,54,64.815
Contig.1,H11b1,292,36,45,45,80.000
Contig.1,U6d1b,292,37,50,50,74.000
Contig.1,L1b1a3a1,292,10,46,46,21.739
Contig.1,H42a,292,39,46,46,84.783
Contig.1,R8a1a1a1,292,38,51,51,74.510
Contig.1,H28a,292,38,46,46,82.609
Contig.1,R8a1a1a2,292,38,53,53,71.698
Contig.1,U2c1b,292,37,50,50,74.000
Contig.1,U2c1a,292,37,52,52,71.154
Contig.1,E2a,292,31,48,48,64.583
Contig.1,E2b,292,31,48,48,64.583
Contig.1,U5a2c4,292,38,51,51,74.510
Contig.1,J1c6,292,42,50,50,84.000
Contig.1,H1u2,292,39,47,47,82.979
Contig.1,U5a2c1,292,38,51,51,74.510
Contig.1,U5a2c2,292,38,51,51,74.510
Contig.1,H1u1,292,39,46,46,84.783
Contig.1,B2o,292,37,50,50,74.000
Contig.1,M13b2,292,30,48,48,62.500
Contig.1,B2n,292,37,51,51,72.549
Contig.1,B4a1c3,292,38,46,46,82.609
Contig.1,B4a1c2,292,37,49,49,75.510
Contig.1,B4a1c1,292,38,45,45,84.444
Contig.1,D5b4,292,32,56,56,57.143
Contig.1,D5b3,292,31,50,50,62.000
